Temperature (K),Pressure (bar)
9.002999999999999545e+02,9.664999999999999195e-10
9.006000000000000227e+02,9.697000000000000739e-10
9.027000000000000455e+02,9.953000000000000682e-10
9.035000000000000000e+02,1.027999999999999966e-09
9.027999999999999545e+02,1.062000000000000055e-09
9.010000000000000000e+02,1.097000000000000038e-09
8.981000000000000227e+02,1.133000000000000120e-09
8.951000000000000227e+02,1.171000000000000196e-09
8.913999999999999773e+02,1.210000000000000164e-09
8.880000000000000000e+02,1.250000000000000026e-09
8.843999999999999773e+02,1.292000000000000088e-09
8.808999999999999773e+02,1.335000000000000043e-09
8.775000000000000000e+02,1.379999999999999991e-09
8.746000000000000227e+02,1.426000000000000039e-09
8.718999999999999773e+02,1.474000000000000080e-09
8.698999999999999773e+02,1.523999999999999907e-09
8.680000000000000000e+02,1.575000000000000041e-09
8.667999999999999545e+02,1.627999999999999962e-09
8.657000000000000455e+02,1.683000000000000082e-09
8.652000000000000455e+02,1.740000000000000195e-09
8.650000000000000000e+02,1.799000000000000095e-09
8.651000000000000227e+02,1.858999999999999888e-09
8.657000000000000455e+02,1.922000000000000187e-09
8.663999999999999773e+02,1.985999999999999966e-09
8.673999999999999773e+02,2.051999999999999945e-09
8.687000000000000455e+02,2.121000000000000017e-09
8.702000000000000455e+02,2.190999999999999982e-09
8.716000000000000227e+02,2.264000000000000040e-09
8.732999999999999545e+02,2.338999999999999884e-09
8.748999999999999773e+02,2.415999999999999929e-09
8.767000000000000455e+02,2.494999999999999759e-09
8.783999999999999773e+02,2.577000000000000097e-09
8.798999999999999773e+02,2.661000000000000220e-09
8.813999999999999773e+02,2.747000000000000130e-09
8.827000000000000455e+02,2.836000000000000133e-09
8.837999999999999545e+02,2.927000000000000336e-09
8.847000000000000455e+02,3.022000000000000111e-09
8.852999999999999545e+02,3.119000000000000086e-09
8.855000000000000000e+02,3.219000000000000154e-09
8.855000000000000000e+02,3.322000000000000316e-09
8.850000000000000000e+02,3.428000000000000156e-09
8.842999999999999545e+02,3.537000000000000090e-09
8.831000000000000227e+02,3.650000000000000424e-09
8.813999999999999773e+02,3.766999999999999916e-09
8.792000000000000455e+02,3.887000000000000329e-09
8.767000000000000455e+02,4.011000000000000315e-09
8.737999999999999545e+02,4.140000000000000179e-09
8.701000000000000227e+02,4.272999999999999617e-09
8.660000000000000000e+02,4.410000000000000281e-09
8.613999999999999773e+02,4.553000000000000304e-09
8.563999999999999773e+02,4.701000000000000207e-09
8.510000000000000000e+02,4.853999999999999988e-09
8.452000000000000455e+02,5.012999999999999956e-09
8.390000000000000000e+02,5.178000000000000110e-09
8.325000000000000000e+02,5.349999999999999930e-09
8.257000000000000455e+02,5.529000000000000242e-09
8.186000000000000227e+02,5.715000000000000220e-09
8.112000000000000455e+02,5.907999999999999864e-09
8.036000000000000227e+02,6.109999999999999787e-09
7.942000000000000455e+02,6.319999999999999682e-09
7.850000000000000000e+02,6.540000000000000163e-09
7.758999999999999773e+02,6.770000000000000403e-09
7.668999999999999773e+02,7.011000000000000708e-09
7.581000000000000227e+02,7.263000000000000252e-09
7.497000000000000455e+02,7.525999999999999033e-09
7.417000000000000455e+02,7.801999999999999321e-09
7.341000000000000227e+02,8.089999999999999981e-09
7.271000000000000227e+02,8.391999999999999972e-09
7.203999999999999773e+02,8.706999999999999815e-09
